title,isbn10,isbn13,vendor_sell,selling_price,url_sell
Business Ethics and Ethical Business,0195369106,9780195369106,Textbookrecycling.com,2.01,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=0195369106
Business Ethics and Ethical Business,0195369106,9780195369106,TextbooksRush,4.75,http://www.textbookrush.com/sell/buyback-cart.aspx?a=add&st=-1&kbid=1119&i=9780195369106|3|0
Business Ethics and Ethical Business,0195369106,9780195369106,Bookbyte,5.0,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9780195369106
Business Ethics and Ethical Business,0195369106,9780195369106,AbeBooks,4.75,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9780195369106|0|3&sub=bookfinder
Business Ethics and Ethical Business,0195369106,9780195369106,sellbackyourbook.com,2.95,https://www.sellbackyourbook.com/allbookstores.php?isbn=0195369106&afid=183
Business Ethics and Ethical Business,0195369106,9780195369106,MyBookCart,1.92,https://www.mybookcart.com/cart/affiliate/23423/9780195369106
Business Ethics and Ethical Business,0195369106,9780195369106,Amazon,6.51,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=0195369106&tag=buybacknew-b-20
Business Ethics and Ethical Business,0195369106,9780195369106,Booksrun,4.66,https://booksrun.com/api/cart/sell/add/0195369106:Good?afk=360
Business Ethics and Ethical Business,0195369106,9780195369106,ecampus.com,4.5,http://www.kqzyfj.com/click-284433-12088826?item=9780195369106
Painter(Passbooks) (Career Examination Passbooks),0837305705,9780837305707,Bookbyte,3.25,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9780837305707
Painter(Passbooks) (Career Examination Passbooks),0837305705,9780837305707,AbeBooks,3.5,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9780837305707|0|3&sub=bookfinder
Painter(Passbooks) (Career Examination Passbooks),0837305705,9780837305707,sellbackyourbook.com,3.29,https://www.sellbackyourbook.com/allbookstores.php?isbn=0837305705&afid=183
Painter(Passbooks) (Career Examination Passbooks),0837305705,9780837305707,Amazon,18.36,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=0837305705&tag=buybacknew-b-20
Financial Founding Fathers: The Men Who Made America Rich,0226910687,9780226910680,sellbackyourbook.com,0.83,https://www.sellbackyourbook.com/allbookstores.php?isbn=0226910687&afid=183
,1133602444,9781133602446,Textbookrecycling.com,1.94,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=1133602444
,1133602444,9781133602446,AbeBooks,17.5,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9781133602446|0|3&sub=bookfinder
,1133602444,9781133602446,sellbackyourbook.com,2.95,https://www.sellbackyourbook.com/allbookstores.php?isbn=1133602444&afid=183
,1133602444,9781133602446,MyBookCart,12.69,https://www.mybookcart.com/cart/affiliate/23423/9781133602446
,1133602444,9781133602446,Textbookmaniac,18.01,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=1133602444
,1133602444,9781133602446,Amazon,19.31,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=1133602444&tag=buybacknew-b-20
,1133602444,9781133602446,Booksrun,6.27,https://booksrun.com/api/cart/sell/add/1133602444:Good?afk=360
,1133602444,9781133602446,ecampus.com,5.5,http://www.kqzyfj.com/click-284433-12088826?item=9781133602446
,1133602444,9781133602446,ValoreBooks,5.1,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9781133602446
