title,isbn10,isbn13,vendor,selling_price,url_sell
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,Textbookrecycling.com,13.63,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=0128016094
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,TextbooksRush,48.5,http://www.textbookrush.com/sell/buyback-cart.aspx?a=add&st=-1&kbid=1119&i=9780128016091|3|0
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,AbeBooks,40.0,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9780128016091|0|3&sub=bookfinder
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,Chegg.com,39.98,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9780128016091
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,sellbackyourbook.com,34.38,https://www.sellbackyourbook.com/allbookstores.php?isbn=0128016094&afid=183
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,Textbookmaniac,46.51,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=0128016094
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,MyBookCart,32.22,https://www.mybookcart.com/cart/affiliate/23423/9780128016091
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,Booksrun,29.38,https://booksrun.com/api/cart/sell/add/0128016094:Good?afk=360
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,Amazon,48.29,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=0128016094&tag=buybacknew-b-20
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,ecampus.com,12.0,http://www.kqzyfj.com/click-284433-12088826?item=9780128016091
"Mergers, Acquisitions, and Other Restructuring Activities, Ninth Edition: An Integrated Approach to Process, Tools, Cases, and Solutions",0128016094,9780128016091,ValoreBooks,36.76,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780128016091
"Investment Banking: Valuation, Leveraged Buyouts, and Mergers and Acquisitions, 2nd Edition",1118472209,9781118472200,Textbookrecycling.com,5.83,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=1118472209
"Investment Banking: Valuation, Leveraged Buyouts, and Mergers and Acquisitions, 2nd Edition",1118472209,9781118472200,TextbooksRush,21.56,http://www.textbookrush.com/sell/buyback-cart.aspx?a=add&st=-1&kbid=1119&i=9781118472200|3|0
"Investment Banking: Valuation, Leveraged Buyouts, and Mergers and Acquisitions, 2nd Edition",1118472209,9781118472200,AbeBooks,19.1,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9781118472200|0|3&sub=bookfinder
"Investment Banking: Valuation, Leveraged Buyouts, and Mergers and Acquisitions, 2nd Edition",1118472209,9781118472200,Bookbyte,20.5,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9781118472200
"Investment Banking: Valuation, Leveraged Buyouts, and Mergers and Acquisitions, 2nd Edition",1118472209,9781118472200,Chegg.com,16.52,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9781118472200
