title,isbn10,isbn13,vendor,selling_price,url_sell
"Workbook for Mosby's Textbook for the Home Care Aide, 3e",0323084397,9780323084390,sellbackyourbook.com,0.15,https://www.sellbackyourbook.com/allbookstores.php?isbn=0323084397&afid=183
Mosby's Textbook for the Home Care Aide,0323084338,9780323084338,AbeBooks,15.25,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9780323084338|0|3&sub=bookfinder
Mosby's Textbook for the Home Care Aide,0323084338,9780323084338,sellbackyourbook.com,13.78,https://www.sellbackyourbook.com/allbookstores.php?isbn=0323084338&afid=183
Mosby's Textbook for the Home Care Aide,0323084338,9780323084338,MyBookCart,16.41,https://www.mybookcart.com/cart/affiliate/23423/9780323084338
Mosby's Textbook for the Home Care Aide,0323084338,9780323084338,Booksrun,6.39,https://booksrun.com/api/cart/sell/add/0323084338:Good?afk=360
Mosby's Textbook for the Home Care Aide,0323084338,9780323084338,Amazon,22.66,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=0323084338&tag=buybacknew-b-20
"Mosby's Textbook for Nursing Assistants - Hard Cover Version (Sorrentino,Mosby's Textbook of Nursing Assistant's)",0323049982,9780323049986,TextbooksRush,2.88,http://www.textbookrush.com/sell/buyback-cart.aspx?a=add&st=-1&kbid=1119&i=9780323049986|3|0
"Mosby's Textbook for Nursing Assistants - Hard Cover Version (Sorrentino,Mosby's Textbook of Nursing Assistant's)",0323049982,9780323049986,sellbackyourbook.com,0.64,https://www.sellbackyourbook.com/allbookstores.php?isbn=0323049982&afid=183
"Mosby's Textbook for Nursing Assistants - Hard Cover Version (Sorrentino,Mosby's Textbook of Nursing Assistant's)",0323049982,9780323049986,ecampus.com,1.0,http://www.kqzyfj.com/click-284433-12088826?item=9780323049986
"Nursing Home Administration, Sixth Edition",0826107044,9780826107046,TextbooksRush,2.19,http://www.textbookrush.com/sell/buyback-cart.aspx?a=add&st=-1&kbid=1119&i=9780826107046|3|0
"Nursing Home Administration, Sixth Edition",0826107044,9780826107046,AbeBooks,2.19,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9780826107046|0|3&sub=bookfinder
"Nursing Home Administration, Sixth Edition",0826107044,9780826107046,Bookbyte,2.75,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9780826107046
"Nursing Home Administration, Sixth Edition",0826107044,9780826107046,Chegg.com,6.62,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9780826107046
"Nursing Home Administration, Sixth Edition",0826107044,9780826107046,sellbackyourbook.com,7.13,https://www.sellbackyourbook.com/allbookstores.php?isbn=0826107044&afid=183
"Nursing Home Administration, Sixth Edition",0826107044,9780826107046,MyBookCart,2.88,https://www.mybookcart.com/cart/affiliate/23423/9780826107046
"Nursing Home Administration, Sixth Edition",0826107044,9780826107046,Amazon,3.12,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=0826107044&tag=buybacknew-b-20
"Nursing Home Administration, Sixth Edition",0826107044,9780826107046,ValoreBooks,2.22,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780826107046
Hale and Hartmann's Textbook of Human Lactation,0977226891,9780977226894,sellbackyourbook.com,0.6,https://www.sellbackyourbook.com/allbookstores.php?isbn=0977226891&afid=183
Hale and Hartmann's Textbook of Human Lactation,0977226891,9780977226894,ValoreBooks,1.02,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780977226894
"Mosby's Textbook for Nursing Assistants - Hard Cover Version (Sorrentino,Mosby's Textbook of Nursing Assistant's)",0323080685,9780323080682,TextbooksRush,1.22,http://www.textbookrush.com/sell/buyback-cart.aspx?a=add&st=-1&kbid=1119&i=9780323080682|3|0
