title,isbn10,isbn13,vendor_buy,description,purchase_cost,processing_cost,net_buying_cost,url_buy
Food for Fifty (12th Edition),0131138715,9780131138711,Amazon.com,"Hardcover, ISBN 9780131138711Publisher: Prentice Hall, 2005944 pages. Used - Very Good, Usually ships in 1-2 business days, USED; all items are donated and listed in the condition received. Shipped M-F in safe and secure bubble mailer. The cover has little markings, dings, and wear. The pages show little markings, dings and wear.",21.19,2,23.19,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=1ObA1m.oLz80JRGFdZG9NyTalYM:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0131138715%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=zwcnw_6EKCjlnQmycLLR
Career Achievement: Growing Your Goals,0077831888,9780077831882,Amazon.com,"Softcover, ISBN 9780077831882Publisher: McGraw-Hill Education, 2015352 pages. Used - Very Good. Shipped from Amazon. FREE Two-Day Shipping with Amazon Prime. Not a Prime member? Get a 30-day Amazon Prime free trial which includes FREE Prime Video, Prime Music and Kindle Lending Library.",24.48,2,26.48,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=rgpQrkSFJFSeeoxLSjvnp8G60GQ_1497963026_1:1:1&bs=amazon_com_prime&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0077831888%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=w7y182OOFupbOYOzou4H
Exploring Creation With Chemistry,1932012265,9781932012262,Amazon.com,"Hardcover, ISBN 9781932012262Publisher: Apologia Educational Ministries, 2003603 pages. Used - Acceptable, Usually ships in 1-2 business days, A used item that has heavier than normal wear.(including but not limited to shelf-wear, torn or missing dust jacket, dented corner, pages may include limited notes and highlighting). Accessories such as CD, codes, and dust jackets etc. may not be included. Fast Shipping - Safe and Secure Bubble Mailer!",34.7,2,36.7,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=m8qnanGcWMLJzjjoXqwwVB9GgCc:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F1932012265%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=K4pIknTbkyQf_TTf0qSB
Critical Thinking,1259690873,9781259690877,Amazon.com,"ISBN 9781259690877Publisher: McGraw-Hill Education, 2016528 pages. Used - Very Good, Usually ships in 1-2 business days, Brand new International Soft Cover Edition. May not included extra materials such access code, card, CD or DVD. Different ISBN number and book cover image with Regular US Edition but contents 100% same with US Edition. Fast ship and save study cost.",73.99,2,75.99,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=IXfGo1sbk8pTEzz8wRRgMHNAYu4:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F1259690873%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=Cr3kBWRyzHMjLdut.YdF
School Counselors as Educational Leaders (School Counseling),0618567933,9780618567935,Amazon.com,"Softcover, ISBN 9780618567935Publisher: Cengage Learning, 2005256 pages. Used - Good, Usually ships in 1-2 business days, A copy that has been read, but remains in clean condition. All pages are intact, and the cover is intact. The spine may show signs of wear. Pages can include limited notes and highlighting, and the copy can include previous owner inscriptions. At ThriftBooks, our motto is: Read More, Spend Less.",29.58,2,31.58,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=INTmLFOJiWL2TuSTys8nofNkJsA_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0618567933%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=tEVoI685xy455zkFUwK1
