title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
On Cooking: A Textbook of Culinary Fundamentals (5th Edition),013715576X,9780137155767,N/A,N/A,N/A,N/A
"The America's Test Kitchen Quick Family Cookbook: A Faster, Smarter Way to Cook Everything from America's Most Trusted Test Kitchen",1933615990,9781933615998,N/A,N/A,N/A,N/A
Hearing Form - Textbook and Anthology Pack: Musical Analysis With and Without the Score,1138900699,9781138900691,N/A,N/A,N/A,N/A
School Counselors as Educational Leaders (School Counseling),0618567933,9780618567935,N/A,N/A,N/A,N/A
Introduction to Optimal Estimation (Advanced Textbooks in Control and Signal Processing),185233133X,9781852331337,N/A,N/A,N/A,N/A
The Godwins: The Rise and Fall of a Noble Dynasty,0582784409,9780582784406,N/A,N/A,N/A,N/A
"Red, White and Black (7th Edition)",0205887597,9780205887590,N/A,N/A,N/A,N/A
Career Achievement: Growing Your Goals,0077831888,9780077831882,N/A,N/A,N/A,N/A
Fabrication Engineering at the Micro- and Nanoscale (The Oxford Series in Electrical and Computer Engineering),0199861226,9780199861224,100.0,3.99,2,105.99
Successful Coaching-4th Edition,1450400515,9781450400510,18.04,3.99,2,24.03
Food for Fifty: 9th edition,0024103411,0000024103411,3.8,3.99,2,9.79
Food for Fifty (14th Edition) (What's New in Culinary & Hospitality),0134437187,9780134437187,186.25,3.99,2,192.24
Cooking for Fifty: The Complete Reference and Cookbook,047157015X,9780471570158,5.58,3.99,2,11.57
"Delmar's Standard Textbook of Electricity, 4th Edition",1418065803,9781418065805,14.95,3.99,2,20.94
"Symbol, Pattern and Symmetry: The Cultural Significance of Structure",1472503120,9781472503121,N/A,N/A,N/A,N/A
Furniture in History: 3000 B.C. - 2000 A.D (2nd Edition),0132447282,9780132447287,N/A,N/A,N/A,N/A
Culinary Calculations: Simplified Math for Culinary Professionals,0471748161,9780471748168,22.78,3.99,2,28.77
Electric Machines and Drives,1118074815,9781118074817,36.1,3.99,2,42.09
"Electrical Machines, Drives and Power Systems (6th Edition)",0131776916,9780131776913,99.0,3.99,2,104.99
Massey Ferguson Shop Manual Models  MF362 365 375 383 390+,0872885208,9780872885202,34.21,3.99,2,40.2
Dr. Jekyll and Mr. Hyde: A Kaplan SAT Score-Raising Classic (Kaplan Test Prep),1607148633,8581000050377,9.94,3.99,2,15.93
"Protective Relaying: Principles and Applications, Fourth Edition",1439888116,9781439888117,95.99,3.99,2,101.98
"Internetworking with TCP/IP, Vol. III: Client-Server Programming and Applications, Linux/Posix Sockets Version",0130320714,9780130320711,12.08,3.99,2,18.07
Edmund Burke: Volume II: 1784-1797,0199541531,9780199541539,N/A,N/A,N/A,N/A
How to Think About Weird Things: Critical Thinking for a New Age,0078038367,9780078038365,39.92,3.99,2,45.91
Essentials of Professional Cooking,1118998707,9781118998700,24.62,3.99,2,30.61
Peter Reinhart's Artisan Breads Every Day,1580089984,8601421527620,4.99,3.99,2,10.98
Meal Service Study Course,0813827639,9780813827636,5.49,3.99,2,11.48
ASE Transit Bus Technician Certification H6: Electrical/Electronic Systems (Ase Test Preparation),1418049999,9781418049997,18.07,3.99,2,24.06
Interior Design: A Critical Introduction,1847883125,9781847883124,87.8,3.99,2,93.79
Transforming the School Counseling Profession (4th Edition) (Merrill Counseling (Hardcover)),0133351890,9780133351897,119.03,3.99,2,125.02
"Electrical Control for Machines, 6E",0766861988,9780766861985,11.88,3.99,2,17.87
The Design Process,1609018389,9781609018382,61.86,3.99,2,67.85
Textual Poachers: Television Fans and Participatory Culture,0415533295,9780415533294,40.88,3.99,2,46.87
"Weeknight Wonders: Delicious, Healthy Dinners in 30 Minutes or Less",1118409493,0884415880958,3.5,3.99,2,9.49
Electric Motor Control,1133702813,9781133702818,45.5,3.99,2,51.49
Mathematics for Electrical Engineering and Computing,075065855X,9780750658553,49.04,3.99,2,55.03
Foundations for Clinical Mental Health Counseling: An Introduction to the Profession (3rd Edition),0134384776,9780134384771,73.0,3.99,2,78.99
Tonal Harmony,125944709X,9781259447099,133.0,3.99,2,138.99
Industrial Motor Control,1133691803,9781133691808,79.39,3.99,2,85.38
"Industrial Motor Control, 6th Edition",1435442393,9781435442399,16.4,3.99,2,22.39
Food for Fifty (12th Edition),0131138715,9780131138711,17.15,3.99,2,23.14
Essentials of Life-Span Development,1259708799,9781259708794,N/A,N/A,N/A,N/A
School Counseling for the 21st Century (5th Edition),0131890379,9780131890374,5.53,3.99,2,11.52
McDougal Littell Middle School Science: Student Edition Grades 6-8 Chemical Interactions 2005,0618334386,9780618334384,1.99,3.99,2,7.98
Life and Times of William IV (Kings & Queens),0297778390,9780297778394,3.99,3.99,2,9.98
Counseling Strategies and Interventions for Professional Helpers (9th Edition) (The Merrill Counseling Series),0133905225,9780133905229,68.01,3.99,2,74.0
Modern Chemistry: Student Edition 2012,0547586639,9780547586632,66.99,3.99,2,72.98
Electricity for the Trades,0073134317,9780073134314,74.99,3.99,2,80.98
Exploring Creation With Chemistry,1932012265,9781932012262,38.69,3.99,2,44.68
Electric Motors and Control Systems,0073521825,8580000596632,7.97,3.99,2,13.96
Beyond Feelings: A Guide to Critical Thinking,0078038189,0000078038189,41.69,3.99,2,47.68
"Career Counseling: A Holistic Approach, 8th Edition (Graduate Career Counseling)",0840034350,9780840034359,25.0,3.99,2,30.99
Concise Introduction to Tonal Harmony,0393264769,9780393264760,97.5,3.99,2,103.49
Understanding Motor Controls,1305498127,9781305498129,103.0,3.99,2,108.99
"Fashion Writing and Criticism: History, Theory, Practice",085785447X,9780857854476,20.43,3.99,2,26.42
The Professional Chef,0470421355,0884713890789,38.91,3.99,2,44.9
Social and Personality Development,0495600385,9780495600381,41.78,3.99,2,47.77
The Fashion Industry and Its Careers: An Introduction,1628923415,9781628923414,35.19,3.99,2,41.18
"Children's Literature, Briefly (5th Edition)",0132480565,0000132480565,18.05,3.99,2,24.04
