title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
"Jerome Bonaparte: The War Years, 1800-1815 (Contributions in Military Studies)",0313309973,9780313309977,60.0,3.99,2,65.99
Substance Use Counseling: Theory and Practice (6th Edition) (The Merrill Counseling Series),0134055934,9780134055930,65.0,0,2,67.0
Professional Management of Housekeeping Operations,047176244X,9780471762447,27.25,4.49,2,33.74
Light on the Path: A Christian Perspective on College Success (Textbook-specific CSFI),1439085528,9781439085523,7.25,0,2,9.25
"Palliative Care Nursing: Quality Care to the End of Life, 2nd Edition",0826157947,9780826157942,2.37,3.99,2,8.36
Becoming a Master Student (Textbook-specific CSFI),1111827532,9781111827533,2.2,3.99,2,8.19
Your Guide to College Success: Strategies for Achieving Your Goals (Textbook-specific CSFI),1111834334,9781111834333,10.0,3.99,2,15.99
Integrated Chinese: Level 2 Part 2 Textbook (Chinese Edition) (Chinese and English Edition),0887276881,8601405078261,39.99,3.99,2,45.98
"Black & Decker The Complete Guide to Roofing & Siding: Updated 3rd Edition - Choose, Install & Maintain Roofing & Siding Materials (Black & Decker Complete Guide)",158923717X,0052944019006,7.99,4.89,2,14.88
Counseling: A Comprehensive Profession with MyLab Counseling with Pearson eText - Access Card Package (8th Edition) (Merrill Counseling),0134055667,9780134055664,125.0,3.99,2,130.99
Becoming a Master Student (MindTap Course List),128519389X,9781285193892,5.35,3.99,2,11.34
Essential Study Skills (Textbook-specific CSFI),0495913502,9780495913504,1.95,3.99,2,7.94
Surveying Historic Buildings,1873394675,9781873394670,N/A,N/A,N/A,N/A
EasyWriter,131905076X,9781319050764,19.4,4.99,2,26.39
Introduction to Housing,0131190423,9780131190429,1.99,4.89,2,8.88
FOCUS on Community College Success (Textbook-specific CSFI),0495906433,9780495906438,0.01,3.99,2,6.0
Autonomic Failure: A Textbook of Clinical Disorders of the Autonomic Nervous System,0198566344,9780198566342,519.97,3.99,2,525.96
Assessment Procedures for Counselors and Helping Professionals (7th Edition),0137152523,9780137152520,15.14,3.99,2,21.13
Textbook of Interdisciplinary Pediatric Palliative Care: Expert Consult Premium Edition - Enhanced Online Features and Print,1437702627,9781437702620,50.0,3.99,2,55.99
"End-of-Life-Care: A Practical Guide, Second Edition",0071545271,0000071545271,10.56,3.99,2,16.55
Joan of Arc: La pucelle (Manchester Medieval Sources MUP),0719068479,9780719068478,8.98,3.98,2,14.96
Pressure Ulcer Research: Current and Future Perspectives,3540250301,9783540250302,30.11,6.47,2,38.58
"Palliative Care for Infants, Children, and Adolescents: A Practical Handbook",1421401495,9781421401492,21.36,3.99,2,27.35
Practical VCR Repair,0827365837,9780827365834,899.99,5.84,2,907.83
"Palliative Care: Core Skills and Clinical Competencies, Expert Consult  Online and Print",1437716199,9781437716191,16.0,4.94,2,22.94
