title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Culinary Calculations: Simplified Math for Culinary Professionals,0471748161,9780471748168,N/A,N/A,N/A,N/A
Peter Reinhart's Artisan Breads Every Day,1580089984,8601421527620,N/A,N/A,N/A,N/A
Mathematics for Electrical Engineering and Computing,075065855X,9780750658553,N/A,N/A,N/A,N/A
School Counselors as Educational Leaders (School Counseling),0618567933,9780618567935,N/A,N/A,N/A,N/A
Food for Fifty (12th Edition),0131138715,9780131138711,17.15,3.99,2,23.14
Counseling Strategies and Interventions for Professional Helpers (9th Edition) (The Merrill Counseling Series),0133905225,9780133905229,N/A,N/A,N/A,N/A
Career Achievement: Growing Your Goals,0077831888,9780077831882,N/A,N/A,N/A,N/A
Tonal Harmony,0078025141,9780078025143,N/A,N/A,N/A,N/A
Fabrication Engineering at the Micro- and Nanoscale (The Oxford Series in Electrical and Computer Engineering),0199861226,9780199861224,100.0,3.99,2,105.99
"Career Counseling: A Holistic Approach, 8th Edition (Graduate Career Counseling)",0840034350,9780840034359,N/A,N/A,N/A,N/A
"Classical Cooking The Modern Way: Methods and Techniques, Third Edition",0471291870,9780471291879,6.8,3.99,2,12.79
The Design Process,1609018389,9781609018382,N/A,N/A,N/A,N/A
Dr. Jekyll and Mr. Hyde: A Kaplan SAT Score-Raising Classic (Kaplan Test Prep),1607148633,8581000050377,9.94,3.99,2,15.93
Essentials of Professional Cooking,1118998707,9781118998700,24.62,3.99,2,30.61
Looking Beyond the Structure: Critical Thinking for Designers & Architects,1563677199,9781563677199,N/A,N/A,N/A,N/A
"Fashion Writing and Criticism: History, Theory, Practice",085785447X,9780857854476,N/A,N/A,N/A,N/A
Modern Chemistry: Student Edition 2007,0030922046,9780030922046,16.84,3.99,2,22.83
Strength and Conditioning for Sports Performance,0415578213,9780415578219,76.14,3.99,2,82.13
"Protective Relaying: Principles and Applications, Fourth Edition",1439888116,9781439888117,95.99,3.99,2,101.98
The Professional Chef,0470421355,0884713890789,38.91,3.99,2,44.9
Foundations for Clinical Mental Health Counseling: An Introduction to the Profession (3rd Edition),0134384776,9780134384771,73.0,3.99,2,78.99
Successful Coaching-4th Edition,1450400515,9781450400510,18.04,3.99,2,24.03
Life and Times of William IV (Kings & Queens),0297778390,9780297778394,3.99,3.99,2,9.98
Food for Fifty (14th Edition) (What's New in Culinary & Hospitality),0134437187,9780134437187,186.25,3.99,2,192.24
"Glencoe Life Science, Student Edition",007877800X,9780078778001,N/A,N/A,N/A,N/A
