title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Dr. Jekyll and Mr. Hyde: A Kaplan SAT Score-Raising Classic (Kaplan Test Prep),1607148633,8581000050377,9.94,3.99,2,15.93
Strength and Conditioning for Sports Performance,0415578213,9780415578219,N/A,N/A,N/A,N/A
Hearing Form - Textbook and Anthology Pack: Musical Analysis With and Without the Score,1138900699,9781138900691,N/A,N/A,N/A,N/A
Queen of Scots: The True Life of Mary Stuart,0618619178,0046442619172,N/A,N/A,N/A,N/A
Mathematics for Electrical Engineering and Computing,075065855X,9780750658553,49.04,3.99,2,55.03
Essentials of Professional Cooking,1118998707,9781118998700,24.62,3.99,2,30.61
"A Medieval Life: Cecilia Penifader of Brigstock, c. 1295-1344",0072903317,9780072903317,22.01,3.99,2,28.0
"Classical Cooking The Modern Way: Methods and Techniques, Third Edition",0471291870,9780471291879,6.8,3.99,2,12.79
The Routledge Queer Studies Reader (Routledge Literature Readers),0415564115,9780415564113,36.33,3.99,2,42.32
Peter Reinhart's Artisan Breads Every Day,1580089984,8601421527620,4.99,3.99,2,10.98
"Delmar's Standard Textbook of Electricity, 4th Edition",1418065803,9781418065805,14.95,3.99,2,20.94
Culinary Calculations: Simplified Math for Culinary Professionals,0471748161,9780471748168,22.77,3.99,2,28.76
Food for Fifty (14th Edition) (What's New in Culinary & Hospitality),0134437187,9780134437187,186.25,3.99,2,192.24
Understanding Motor Controls,1305498127,9781305498129,103.0,3.99,2,108.99
"Red, White and Black (7th Edition)",0205887597,9780205887590,57.71,3.99,2,63.7
Introduction to Optimal Estimation (Advanced Textbooks in Control and Signal Processing),185233133X,9781852331337,80.98,3.99,2,86.97
"Protective Relaying: Principles and Applications, Fourth Edition",1439888116,9781439888117,95.99,3.99,2,101.98
"Internetworking with TCP/IP, Vol. III: Client-Server Programming and Applications, Linux/Posix Sockets Version",0130320714,9780130320711,12.08,3.99,2,18.07
On Cooking: A Textbook of Culinary Fundamentals (5th Edition),013715576X,9780137155767,16.6,3.99,2,22.59
"Weeknight Wonders: Delicious, Healthy Dinners in 30 Minutes or Less",1118409493,0884415880958,3.49,3.99,2,9.48
Successful Coaching-4th Edition,1450400515,9781450400510,18.04,3.99,2,24.03
Fabrication Engineering at the Micro- and Nanoscale (The Oxford Series in Electrical and Computer Engineering),0199861226,9780199861224,100.0,3.99,2,105.99
Industrial Motor Control,1133691803,9781133691808,79.39,3.99,2,85.38
Graphic Design: A New History,0300172605,0884898151897,32.91,3.99,2,38.9
Electric Machines and Drives,1118074815,9781118074817,36.1,3.99,2,42.09
"Children's Literature, Briefly (5th Edition)",0132480565,0000132480565,18.05,3.99,2,24.04
Tonal Harmony,125944709X,9781259447099,133.0,3.99,2,138.99
Massey Ferguson Shop Manual Models  MF362 365 375 383 390+,0872885208,9780872885202,34.21,3.99,2,40.2
How to Think About Weird Things: Critical Thinking for a New Age,0078038367,9780078038365,39.92,3.99,2,45.91
Tonal Harmony: With an Introduction to Twentieth Century Music,0073401358,9780073401355,10.18,3.99,2,16.17
"The America's Test Kitchen Quick Family Cookbook: A Faster, Smarter Way to Cook Everything from America's Most Trusted Test Kitchen",1933615990,9781933615998,10.0,3.99,2,15.99
Food for Fifty: 9th edition,0024103411,0000024103411,7.79,3.99,2,13.78
World of Chemistry,0618562753,9780618562756,26.0,3.99,2,31.99
Ms. Marvel Volume 1: No Normal,078519021X,8601421073080,3.98,3.99,2,9.97
Harmony in Context,0073137944,9780073137940,69.55,3.99,2,75.54
Meal Service Study Course,0813827639,9780813827636,5.02,3.99,2,11.01
The Godwins: The Rise and Fall of a Noble Dynasty,0582784409,9780582784406,13.97,3.99,2,19.96
Cooking for Fifty: The Complete Reference and Cookbook,047157015X,9780471570158,5.58,3.99,2,11.57
Electric Motors and Control Systems,0073373818,9780073373812,89.99,3.99,2,95.98
"Electrical Control for Machines, 6E",0766861988,9780766861985,11.88,3.99,2,17.87
Tonal Harmony,0078025141,9780078025143,46.35,3.99,2,52.34
"Hotel, Restaurant, and Travel Law, 7th Edition",1418051918,9781418051914,13.49,3.99,2,19.48
Interior Design: A Critical Introduction,1847883125,9781847883124,87.8,3.99,2,93.79
Electric Motor Control,1133702813,9781133702818,45.5,3.99,2,51.49
Ultimate Questions: Thinking about Philosophy (3rd Edition),020573197X,9780205731978,44.67,3.99,2,50.66
Career Achievement: Growing Your Goals,0077831888,9780077831882,24.49,3.99,2,30.48
Genetics: Breaking the Code of Your DNA (Inquire and Investigate),1619302128,9781619302129,7.3,3.99,2,13.29
Transforming the School Counseling Profession (4th Edition) (Merrill Counseling (Hardcover)),0133351890,9780133351897,119.03,3.99,2,125.02
"Career Counseling: A Holistic Approach, 8th Edition (Graduate Career Counseling)",0840034350,9780840034359,25.0,3.99,2,30.99
School Counseling for the 21st Century (5th Edition),0131890379,9780131890374,5.53,3.99,2,11.52
"It's All for the Kids: Gender, Families, and Youth Sports",0520257103,0884566083222,15.52,3.99,2,21.51
Beyond Feelings: A Guide to Critical Thinking,0078038189,0000078038189,41.69,3.99,2,47.68
History of Modern Design (2nd Edition) (Fashion Series),0205728502,9780205728503,70.92,3.99,2,76.91
Advanced Harmony: Theory and Practice (5th Edition),0130833398,9780130833396,18.95,3.99,2,24.94
"Workbook: for Harmonic Practice in Tonal Music, Second Edition",039397667X,9780393976670,2.04,3.99,2,8.03
The Quiet American (Penguin Classics Deluxe Edition),0143039024,9780143039020,30.94,3.99,2,36.93
Modern Chemistry: Student Edition 2012,0547586639,9780547586632,66.99,3.99,2,72.98
Textual Poachers: Television Fans and Participatory Culture,0415533295,9780415533294,40.88,3.99,2,46.87
School Counselors as Educational Leaders (School Counseling),0618567933,9780618567935,57.06,3.99,2,63.05
"Integrated Korean: Beginning 1, 2nd Edition (Klear Textbooks in Korean Language)",0824834402,0783324852189,17.22,3.99,2,23.21
McDougal Littell Middle School Science: Student Edition Grades 6-8 Chemical Interactions 2005,0618334386,9780618334384,1.99,3.99,2,7.98
Schenker Guide: A Brief Handbook and Website for Schenkerian Analysis,0415973988,9780415973984,32.27,3.99,2,38.26
Looking Beyond the Structure: Critical Thinking for Designers & Architects,1563677199,9781563677199,57.79,3.99,2,63.78
Living Ethics,1111186510,9781111186517,70.95,3.99,2,76.94
Marvel's Agents of S.H.I.E.L.D.: Season One Declassified Slipcase,078518998X,9780785189985,N/A,N/A,N/A,N/A
"The Love of David and Jonathan: Ideology, Text, Reception (BibleWorld)",1845536754,9781845536756,N/A,N/A,N/A,N/A
Aristotle (The Routledge Philosophers),0415622492,9780415622493,30.58,3.99,2,36.57
ASE Transit Bus Technician Certification H6: Electrical/Electronic Systems (Ase Test Preparation),1418049999,9781418049997,18.07,3.99,2,24.06
Professional Management of Housekeeping Operations,047176244X,9780471762447,N/A,N/A,N/A,N/A
"Critical Thinking, Ninth Edition",0073386677,9780073386676,7.37,3.99,2,13.36
Modern Chemistry: Student Edition 2007,0030922046,9780030922046,16.84,3.99,2,22.83
Glencoe Chemistry: Matter and Change,0078964059,9780078964053,75.39,3.99,2,81.38
Thinking Critically About Ethical Issues,0078119057,9780078119057,40.55,3.99,2,46.54
DeGarmo's Materials and Processes in Manufacturing,0470924675,8601400071953,18.0,3.99,2,23.99
Designing: An Introduction,1609014960,9781609014964,99.98,3.99,2,105.97
Behavior Modification: What It Is and How To Do It,0205992102,9780205992102,63.0,3.99,2,68.99
Critical Thinking,1259690873,9781259690877,93.58,3.99,2,99.57
"Developing Fieldwork Skills: A Guide for Human Services, Counseling, and Social Work Students",0534346545,9780534346546,10.0,3.99,2,15.99
Electric Motors and Control Systems,0073521825,8580000596632,7.96,3.99,2,13.95
Edmund Burke: Volume II: 1784-1797,0199541531,9780199541539,19.11,3.99,2,25.1
Silverthorn (Turtleback School & Library Binding Edition) (Riftwar Saga),0613293452,9780613293457,9.92,3.99,2,15.91
Anne Hutchinson: Puritan Prophet (Library of American Biography),0321476212,9780321476210,6.26,3.99,2,12.25
"Fashion Writing and Criticism: History, Theory, Practice",085785447X,9780857854476,20.43,3.99,2,26.42
Counseling Strategies and Interventions for Professional Helpers (9th Edition) (The Merrill Counseling Series),0133905225,9780133905229,68.01,3.99,2,74.0
Furniture in History: 3000 B.C. - 2000 A.D (2nd Edition),0132447282,9780132447287,84.58,3.99,2,90.57
Mary Tudor: Old and New Perspectives,0230004636,9780230004634,32.09,3.99,2,38.08
"Music, Travel, and Imperial Encounter in 19th-Century France: Musical Apprehensions (Routledge Studies in Ethnomusicology)",1138777994,9781138777996,N/A,N/A,N/A,N/A
Essentials of Life-Span Development,1259708799,9781259708794,98.3,3.99,2,104.29
"Bosnian, Croatian, Serbian, a Textbook: With Exercises and Basic Grammar",0299236544,9780299236540,29.0,3.99,2,34.99
"Symbol, Pattern and Symmetry: The Cultural Significance of Structure",1472503120,9781472503121,5.92,3.99,2,11.91
Electrical Motor Controls for Integrated Systems,0826912265,9780826912268,77.08,3.99,2,83.07
"Glencoe Life Science, Student Edition",007877800X,9780078778001,14.73,3.99,2,20.72
An Introduction to the History of Psychology (PSY 310 History and Systems of Psychology),0495506214,9780495506218,12.98,3.99,2,18.97
"Taking Sides: Clashing Views in United States History, Volume 2: Reconstruction to the Present (Taking Sides. Clashing Views in United States History)",1259677583,9781259677588,45.44,3.99,2,51.43
"Yookoso! An Invitation to Contemporary Japanese, Third Edition",0072408154,9780072408157,63.97,3.99,2,69.96
Critical Thinking: A Student's Introduction,0078038316,9781259074035,64.25,3.99,2,70.24
Foundations for Clinical Mental Health Counseling: An Introduction to the Profession (3rd Edition),0134384776,9780134384771,73.0,3.99,2,78.99
The Stand: The Night Has Come,0785136452,9780785136453,12.95,3.99,2,18.94
Harmony and Voice Leading,0155062425,9780155062429,26.75,3.99,2,32.74
The Picture of Dorian Gray (Norton Critical Edition),0393927547,9780719546686,8.99,3.99,2,14.98
Concise Introduction to Tonal Harmony,0393264769,9780393264760,97.5,3.99,2,103.49
Social and Personality Development,0495600385,9780495600381,41.78,3.99,2,47.77
Sustainable Thinking: Ethical Approaches to Design and Design Management (Required Reading Range),2940496048,9782940496044,24.49,3.99,2,30.48
On Cooking: A Textbook of Culinary Fundamentals (6th Edition) (What's New in Culinary & Hospitality),0134441907,9780134441900,135.86,3.99,2,141.85
The First Prejudice: Religious Tolerance and Intolerance in Early America (Early American Studies),0812223144,9780812223149,24.91,3.99,2,30.9
The Design Process,1609018389,9781609018382,61.86,3.99,2,67.85
"Game Sense: Pedagogy for Performance, Participation and Enjoyment (Routledge Studies in Physical Education and Youth Sport)",0415532884,9780415532884,39.83,3.99,2,45.82
"Networking Self-Teaching Guide: OSI, TCP/IP, LANs, MANs, WANs, Implementation, Management, and Maintenance",0470402385,9780470402382,52.09,3.99,2,58.08
Genki: An Integrated Course in Elementary Japanese Workbook I [Second Edition] (Japanese Edition) (Japanese and English Edition),478901441X,9784789014410,24.59,3.99,2,30.58
Inhuman Traffick: The International Struggle against the Transatlantic Slave Trade: A Graphic History (Graphic History Series),0199334072,9780199334070,9.76,3.99,2,15.75
The Illustrated Network: How TCP/IP Works in a Modern Network (The Morgan Kaufmann Series in Networking),0123745411,9780123745415,17.67,3.99,2,23.66
Exploring Creation With Chemistry,1932012265,9781932012262,38.69,3.99,2,44.68
Children Moving: A Reflective Approach to Teaching Physical Education,0073376450,9780073376455,5.94,3.99,2,11.93
Do the Right Thing: Readings in Applied Ethics and Social Philosophy,0534543359,9780534543358,20.65,3.99,2,26.64
"The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African, Written by Himself (Norton Critical Editions)",0393974944,8601416937908,2.66,3.99,2,8.65
Queer Theory and the Jewish Question (Between Men-Between Women: Lesbian and Gay Studies),0231113757,8580000295290,24.2,3.99,2,30.19
Strength and Conditioning for Young Athletes: Science and application,0415694892,9780415694896,34.12,3.99,2,40.11
The Native Ground: Indians and Colonists in the Heart of the Continent (Early American Studies),0812219392,9780812219395,17.98,3.99,2,23.97
How to Think About Weird Things: Critical Thinking for a New Age,007353577X,9780073535777,7.78,3.99,2,13.77
In the Dust of This Planet: Horror of Philosophy (Volume 1),184694676X,9781846946769,6.48,3.99,2,12.47
The Professional Chef,0470421355,0884713890789,38.91,3.99,2,44.9
The Fashion Industry and Its Careers: An Introduction,1628923415,9781628923414,35.19,3.99,2,41.18
Critical Thinking,0078038286,9780078038280,14.01,3.99,2,20.0
Essential Topics for the Helping Professional,020541401X,9780205414017,41.28,3.99,2,47.27
Integrated Chinese: Level 2 Part 2 Textbook (Chinese Edition) (Chinese and English Edition),0887276881,8601405078261,43.5,3.99,2,49.49
"Integrated Chinese: Level 2, Part 1 (Simplified and Traditional Character) Textbook (Chinese Edition) (Chinese and English Edition)",0887276792,9780887276798,41.76,3.99,2,47.75
THiNK,007803843X,9780078038433,10.28,3.99,2,16.27
Punto y aparte (Spanish) Standalone Book,0078037050,9780078037054,54.99,3.99,2,60.98
Ultimate Spanish Beginner-Intermediate (Coursebook) (Ultimate Beginner-Intermediate),1400009618,9781400009619,12.59,3.99,2,18.58
Deadpool Classic Volume 10,0785190465,9780785190462,14.81,3.99,2,20.8
Madman Volume 1 (v. 1),1582408106,9781582408101,4.85,3.99,2,10.84
Ethical Issues in Professional Life,0195050266,9780195050264,34.95,3.99,2,40.94
Physical Activity Interventions in Children and Adolescents,0736051325,9780736051323,6.07,3.99,2,12.06
Colonial North America and the Atlantic World: A History in Documents,0132342375,9780132342377,29.95,3.99,2,35.94
Designing the Physical Education Curriculum: Promoting Active Lifestyles,0767410084,9780767410083,32.82,3.99,2,38.81
Doing Ethics: Moral Reasoning and Contemporary Issues (Fourth Edition),0393265412,9780393265415,44.23,3.99,2,50.22
Lean IT: Enabling and Sustaining Your Lean Transformation,1439817561,9781439817568,13.05,3.99,2,19.04
The Wine Bible,0761180834,9780761180838,23.09,3.99,2,29.08
Social Psychology: Goals in Interaction (6th Edition),0133810186,9780133810189,94.78,3.99,2,100.77
Event Risk Management and Safety,0471401684,9780471401681,13.52,3.99,2,19.51
"Industrial Motor Control, 6th Edition",1435442393,9781435442399,16.4,3.99,2,22.39
Aproximaciones al estudio de la literatura hispánica,0073385379,9780073385372,41.28,3.99,2,47.27
Life and Times of William IV (Kings & Queens),0297778390,9780297778394,3.99,3.99,2,9.98
"Serving Military Families: Theories, Research, and Application (Textbooks in Family Studies)",1138841250,9781138841253,39.29,3.99,2,45.28
A Complete French Grammar for Reference and Practice,0761849718,9780761849711,35.83,3.99,2,41.82
Counseling the Culturally Diverse: Theory and Practice,1118022025,9781118022023,15.33,3.99,2,21.32
Understanding Child Abuse and Neglect (9th Edition),020539969X,9780205399697,82.65,3.99,2,88.64
Strategic Sport Communication 2nd Edition,1492525774,9781492525776,34.0,3.99,2,39.99
