title,isbn10,isbn13,vendor_buy,description,purchase_cost,processing_cost,net_buying_cost,url_buy
"Black & Decker The Complete Guide to Roofing & Siding: Updated 3rd Edition - Choose, Install & Maintain Roofing & Siding Materials (Black & Decker Complete Guide)",158923717X,0052944019006,N/A,N/A,N/A,N/A,N/A,N/A
"End-of-Life-Care: A Practical Guide, Second Edition",0071545271,0000071545271,N/A,N/A,N/A,N/A,N/A,N/A
Surveying Historic Buildings,1873394675,9781873394670,N/A,N/A,N/A,N/A,N/A,N/A
Integrated Chinese: Level 2 Part 2 Textbook (Chinese Edition) (Chinese and English Edition),0887276881,8601405078261,N/A,N/A,N/A,N/A,N/A,N/A
Rules for Writers,1457683040,9781457683046,N/A,N/A,N/A,N/A,N/A,N/A
Marie Antoinette: Writings on the Body of a Queen,0415933951,9780415933957,N/A,N/A,N/A,N/A,N/A,N/A
Oxford Textbook of Palliative Nursing (Oxford Textbooks in Palliative Medicine),0199332347,9780199332342,N/A,N/A,N/A,N/A,N/A,N/A
"Integrated Korean: Beginning 1, 2nd Edition (Klear Textbooks in Korean Language)",0824834402,0783324852189,N/A,N/A,N/A,N/A,N/A,N/A
Essential Study Skills (MindTap Course List),1285430093,9781285430096,N/A,N/A,N/A,N/A,N/A,N/A
Substance Use Counseling: Theory and Practice (6th Edition) (The Merrill Counseling Series),0134055934,9780134055930,N/A,N/A,N/A,N/A,N/A,N/A
Becoming a Master Student (MindTap Course List),1337097101,9781337097109,N/A,N/A,N/A,N/A,N/A,N/A
FOCUS on Community College Success (Textbook-specific CSFI),0495906433,9780495906438,N/A,N/A,N/A,N/A,N/A,N/A
Mosby's Textbook for Nursing Assistants - Soft Cover Version,0323009247,9780323009249,N/A,N/A,N/A,N/A,N/A,N/A
A Writer's Reference,1319057446,9781319057442,N/A,N/A,N/A,N/A,N/A,N/A
Textbook of Interdisciplinary Pediatric Palliative Care: Expert Consult Premium Edition - Enhanced Online Features and Print,1437702627,9781437702620,N/A,N/A,N/A,N/A,N/A,N/A
Networking Essentials: A CompTIA Network+ N10-007 Textbook (5th Edition) (Pearson IT Cybersecurity Curriculum (ITCC)),0789758741,9780789758743,N/A,N/A,N/A,N/A,N/A,N/A
Pattern Cutting for Women's Tailored Jackets: Classic and Contemporary,0632054670,9780632054671,N/A,N/A,N/A,N/A,N/A,N/A
Introduction to Housing,0131190423,9780131190429,N/A,N/A,N/A,N/A,N/A,N/A
EasyWriter,131905076X,9781319050764,N/A,N/A,N/A,N/A,N/A,N/A
Principles and Practice of Palliative Care and Supportive Oncology,145112127X,9780443073250,N/A,N/A,N/A,N/A,N/A,N/A
"Palliative Care for Infants, Children, and Adolescents: A Practical Handbook",1421401495,9781421401492,N/A,N/A,N/A,N/A,N/A,N/A
Aproximaciones al estudio de la literatura hispánica,0073385379,9780073385372,N/A,N/A,N/A,N/A,N/A,N/A
A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),039916524X,9780399165245,N/A,N/A,N/A,N/A,N/A,N/A
"Writing Research Papers: A Complete Guide, 15th Edition",0321952952,9780321952950,N/A,N/A,N/A,N/A,N/A,N/A
"Bosnian, Croatian, Serbian, a Textbook: With Exercises and Basic Grammar",0299236544,9780299236540,N/A,N/A,N/A,N/A,N/A,N/A
Light on the Path: A Christian Perspective on College Success (Textbook-specific CSFI),1439085528,9781439085523,N/A,N/A,N/A,N/A,N/A,N/A
Oxford Textbook of Palliative Medicine,0199656096,9780199656097,N/A,N/A,N/A,N/A,N/A,N/A
On Course Study Skills Plus Edition (MindTap Course List),1305397487,9781305397484,N/A,N/A,N/A,N/A,N/A,N/A
Foodservice Organizations: A Managerial and Systems Approach (5th Edition),0130486892,9780130486899,N/A,N/A,N/A,N/A,N/A,N/A
Ms. Marvel Volume 1: No Normal,078519021X,8601421073080,N/A,N/A,N/A,N/A,N/A,N/A
VCR Troubleshooting and Repair,075069940X,9780750699402,N/A,N/A,N/A,N/A,N/A,N/A
"The Upholsterer's Pocket Reference Book: Materials, Measurements, Calculations",0946819718,9780946819713,N/A,N/A,N/A,N/A,N/A,N/A
"Practical Guide to Patternmaking for Fashion Designers: Juniors, Misses and Women",1563673282,9781563673283,N/A,N/A,N/A,N/A,N/A,N/A
"Palliative Care Nursing: Quality Care to the End of Life, 2nd Edition",0826157947,9780826157942,N/A,N/A,N/A,N/A,N/A,N/A
"Red, White, and Black (6th Edition)",0205692370,2900205692377,N/A,N/A,N/A,N/A,N/A,N/A
Genki: An Integrated Course in Elementary Japanese Workbook I [Second Edition] (Japanese Edition) (Japanese and English Edition),478901441X,9784789014410,N/A,N/A,N/A,N/A,N/A,N/A
Network Management: Principles and Practices (2nd Edition),8131734048,9788131734049,N/A,N/A,N/A,N/A,N/A,N/A
DeGarmo's Materials and Processes in Manufacturing,0470924675,8601400071953,N/A,N/A,N/A,N/A,N/A,N/A
Joan of Arc: La pucelle (Manchester Medieval Sources MUP),0719068479,9780719068478,N/A,N/A,N/A,N/A,N/A,N/A
"The Revolutionary Era, 1789-1850 (The Norton History of Modern Europe)",0393978605,9780393978605,N/A,N/A,N/A,N/A,N/A,N/A
Autonomic Failure: A Textbook of Clinical Disorders of the Autonomic Nervous System,0198566344,9780198566342,N/A,N/A,N/A,N/A,N/A,N/A
Textbook of Palliative Medicine and Supportive Care,1444135252,9781444135251,N/A,N/A,N/A,N/A,N/A,N/A
Guide to UNIX Using Linux (Networking (Course Technology)),1418837237,9781418837235,Amazon.com,"Softcover, ISBN 9781418837235Publisher: Cengage Learning, 2007704 pages. Used - Acceptable, Usually ships in 24 hours, NO CD!!! Book has water wrinkling on several pages and is in rough condition.",38.53,2,40.53,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=.LPSvSUBG8H7QylACYa9dtmr9Tk_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F1418837237%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=pgZb5bGfKZ5MUDDO1Rdv
A Writer's Reference with Exercises,131910696X,9781319106966,Amazon.com,"Softcover, ISBN 9781319106966Publisher: Bedford/St. Martin's, 2017580 pages. Used - Like New, Usually ships in 1-2 business days, Unread copy in perfect condition.",67.53,2,69.53,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=R9j3woATJH4J,86Gju9LM4Bqh5s_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F131910696X%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=qbL_kQSPCittgfeQ9SC1"
"On Course, Study Skills Plus Edition (Textbook-specific CSFI)",1439085226,9781439085226,N/A,N/A,N/A,N/A,N/A,N/A
"Jerome Bonaparte: The War Years, 1800-1815 (Contributions in Military Studies)",0313309973,9780313309977,Amazon.com,"Hardcover, ISBN 9780313309977Publisher: Praeger, 2000176 pages. Used - Very Good, Usually ships in 1-2 business days, Westport, CT; Greenwood Press; 2000; 1st Edition; Hardcover; Very Good with No dust jacket as issued; One small brown (coffee? ) stain to back cover at gutter/spine.; Illus. , maps; 136 Pages",63.99,2,65.99,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=OVPs2vKdGYeDB.cPWT6i1aJXNLY_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0313309973%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=C2JUnS5Kiu_QYz2DPJem
Assessment Procedures for Counselors and Helping Professionals (7th Edition),0137152523,9780137152520,Amazon.com,"Hardcover, ISBN 9780137152520Publisher: Pearson, 2009496 pages. Used - Acceptable, Usually ships in 1-2 business days, A readable copy. All pages are intact, and the cover is intact. Pages can include considerable notes-in pen or highlighter-but the notes cannot obscure the text. At ThriftBooks, our motto is: Read More, Spend Less.",19.13,2,21.13,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=0nYurkP3KMcbib03GoUJSxf31Wk_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0137152523%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=r2x4evTClPzWkQfox89z
"The Hodges Harbrace Handbook, 18th Edition",1111346704,9781111346706,N/A,N/A,N/A,N/A,N/A,N/A
Pressure Ulcer Research: Current and Future Perspectives,3540250301,9783540250302,Amazon.com,"Hardcover, ISBN 9783540250302Publisher: Springer, 2005382 pages. Used - Good, Usually ships in 1-2 business days, Pages are still like new. The cover edges show some wear but it is still very good.",36.58,2,38.58,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=ngK0acVvf9To3VZkC6VgfKlzPa8_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F3540250301%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=NQ34hz8zltnwT9Gt7UNm
"Modern Industrial Electronics, Fifth Edition",0130487414,9780130487414,N/A,N/A,N/A,N/A,N/A,N/A
Interviewing as Qualitative Research: A Guide for Researchers in Education and the Social Sciences,0807754048,0880795049022,N/A,N/A,N/A,N/A,N/A,N/A
"Substance Abuse: Information for School Counselors, Social Workers, Therapists and Counselors (5th Edition)",0132613247,9780132613248,Amazon.com,"Softcover, ISBN 9780132613248Publisher: Pearson, 2012400 pages. Used - Good, Usually ships in 1-2 business days, Used books may not include access codes or one time use codes. Proven Seller with Excellent Customer Service. Choose expedited shipping and get it FAST.",13.98,2,15.98,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=bDZ72fftFVvRXN9iREwzxwSfwNA_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0132613247%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=XVVS7yOwMlnVKZMne6MC
Gronlund's Writing Instructional Objectives (8th Edition),0131755935,9780131755932,Amazon.com,"Softcover, ISBN 9780131755932Publisher: Pearson, 2008176 pages. Used - Like New, Usually ships in 1-2 business days, Like New. Looks unused. May have shelf wear or remainder mark. Prompt shipping and great customer service.",72.44,2,74.44,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=0pAWfDEtHHvSDgSbE,hLUOfyvRU_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0131755935%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=J8BTDOl.HLRCZ95gB7AA"
Essential Study Skills (Textbook-specific CSFI),0495913502,9780495913504,Amazon.com,"Softcover, ISBN 9780495913504Publisher: Wadsworth Publishing, 2011504 pages. Used - Good, Usually ships in 24 hours, RECEIVE IN 2-3 BUSINESS DAYS WHEN YOU CHOOSE EXPEDITED SHIPPING! Used books cannot guarantee unused access codes or working CD's!",5.94,2,7.94,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=apRzJao1NL.ptqjLi9p7ToXN3qI_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0495913502%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=pT2U6.FhO.1loxAf6Snq
Guide to Networking Essentials,1305105435,9781305105430,N/A,N/A,N/A,N/A,N/A,N/A
The Handbook of Technical Writing,1457675528,9781457675522,Amazon.com,"Softcover, ISBN 9781457675522Publisher: Bedford/St. Martin's, 2015672 pages. Used - Good, Usually ships in 1-2 business days, Used - Good Textbook Only! Eleventh May contain highlighting/underlining/notes- /etc. May have used stickers on cover. Ships same or next day. Expedited shipping takes 2-3 business days; standard shipping takes 4-14 business days.",43.53,2,45.53,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=.6tuiOsxDoVDeV4GaTwQ4JK5QZw_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F1457675528%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=r3Uv1MQiSWcFCxJiEX6j
Progressive Sight Singing,0195178475,9780195178470,Amazon.com,"Softcover, ISBN 9780195178470Publisher: Oxford University Press, 2006496 pages. Used - Like New, Usually ships in 1-2 business days, Clean and Tigh book; Sealed disc inside; We ship daily with Tracking Number",50.77,2,52.77,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=HZAS3WMiSCgUNGr8dfHlLVw7GpE_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0195178475%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=EpciMnB8lj0Efsaw3ODu
Reaching Your Potential: Personal and Professional Development (Textbook-specific CSFI),1435439732,9781435439733,Amazon.com,"Softcover, ISBN 9781435439733Publisher: Cengage Learning, 2009392 pages. Used - Acceptable, Usually ships in 24 hours, This book WILL contain heavy wear, excessive highlighting/writing, loose binding, AND/OR water damage. Supplemental materials such as CDs or access codes may NOT be included regardless of title. Contact us with any questions!",21.77,2,23.77,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=wcUMI4cBKs9sQDiKsjyPmL5tZg8_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F1435439732%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=vLQk6jClbb017NA9fnAM
Under Pressure: Cooking Sous Vide (The Thomas Keller Library),1579653510,8601200635027,N/A,N/A,N/A,N/A,N/A,N/A
The Return of Martin Guerre,0674766911,9780674766914,Amazon.com,"Softcover, ISBN 9780674766914Publisher: Harvard University Press, 1983162 pages. Used - Acceptable, Usually ships in 1-2 business days, Well-loved Book. May have markings, water damage, missing jacket/CDs/supplemental materials, and heavy wear. Stock photo may be different from actual cover.",7.91,2,9.91,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=9jiOy6PBfOYO.59ak57RQ3CRzi8_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0674766911%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=jS597KHK_MwN8kqunKIl
"Yookoso! An Invitation to Contemporary Japanese, Third Edition",0072408154,9780072408157,Amazon.com,"Hardcover, ISBN 9780072408157Publisher: McGraw-Hill Humanities Social, 2005548 pages. Used - Good, Usually ships in 24 hours, Minor Signs of Wear - Item is Fulfilled by online - Eligible for FREE Super Saver/Prime Shipping. online Customer Service with Delivery Tracking. Receive your item in 3-5 Days!. Shipped from Amazon. FREE Two-Day Shipping with Amazon Prime.",69.99,2,71.99,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=JWhlpepQYbh3W.Smt7WqPMmWVIg_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0072408154%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=Ie_hriRa.1OCpZU1aGLq
Writing Analytically,1337559466,9781337559461,Amazon.com,"Softcover, ISBN 9781337559461Publisher: Cengage Learning, 2018384 pages. Used - Like New, Usually ships in 1-2 business days, Unread copy in perfect condition.",66.99,2,68.99,"https://www.bookfinder.com/search/?st=rs&ac=dp&qi=Qk5dKuBulG,EoNQcJSHfxvcKumI_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F1337559466%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=xwkjgRy9H.eyxxKHghha"
Napoleon,0582437520,9780582437524,Amazon.com,"Softcover, ISBN 9780582437524Publisher: Routledge, 2000300 pages. Used - Good, Usually ships in 1-2 business days, Orders shipped Monday through Friday. Your purchase helps put people to work and learn life skills to reach their full potential. Thank you! Some wear and/or marks on cover.",7.28,2,9.28,https://www.bookfinder.com/search/?st=rs&ac=dp&qi=YFuRovbwtFfISewSUqjbluLWtsY_1497963026_1:1:1&bs=amazon&bu=https%3A%2F%2Fwww%2Eamazon%2Ecom%2F%2Fgp%2Foffer%2Dlisting%2F0582437520%2Fsr%3D%2Fqid%3D%2F%3Fcondition%3Dused%26tag%3Dbookfinder%2Dtest%2Da%2D20&uh=n.MQR4JrZOCAHxiTqbBM
