category,url
Books:Sports & Outdoors:Hiking & Camping:Walking,https://www.amazon.com/s/ref=sr_nr_n_2?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16384%2Cn%3A4651&bbn=16384&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16384
Books:Science Fiction & Fantasy:Fantasy:Magical Realism,https://www.amazon.com/s/ref=sr_nr_n_9?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A25%2Cn%3A16190%2Cn%3A9045831011&bbn=16190&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16190
"Books:Mystery, Thriller & Suspense:Mystery:Reference",https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A18%2Cn%3A10457%2Cn%3A10473&bbn=10457&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=10457
Books:Sports & Outdoors:Miscellaneous:Sports Psychology,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16596%2Cn%3A16613&bbn=16596&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=16596
Books:Sports & Outdoors:Hiking & Camping:Camping,https://www.amazon.com/s/ref=sr_nr_n_3?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16384%2Cn%3A16388&bbn=16384&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16384
"Books:Health, Fitness & Dieting:Sexual Health:Women's Sexual Health",https://www.amazon.com/s/ref=sr_nr_n_1?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A10%2Cn%3A6514340011%2Cn%3A6511979011&bbn=6514340011&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=6514340011
Books:Computers & Technology:Internet & Social Media:Online Searching,https://www.amazon.com/s/ref=sr_nr_n_8?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A5%2Cn%3A69766%2Cn%3A69771&bbn=69766&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=69766
"Books:Health, Fitness & Dieting:Sexual Health:General",https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A10%2Cn%3A6514340011%2Cn%3A6514343011&bbn=6514340011&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=6514340011
Books:Comics & Graphic Novels:Art of Comics and Manga,https://www.amazon.com/s/ref=sr_nr_n_13?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A4366%2Cn%3A7421482011&bbn=4366&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=4366
Books:Teen & Young Adult:Sports & Outdoors:Biographies,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A28%2Cn%3A171180%2Cn%3A17431&bbn=171180&keywords=textbooks&ie=UTF8&qid=1535004107&rnid=171180
Books:Education & Teaching:Test Preparation:College & High School:GED,https://www.amazon.com/s/ref=sr_nr_n_5?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A8975347011%2Cn%3A5267710011%2Cn%3A11668%2Cn%3A11700&bbn=11668&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=11668
Books:Romance:Clean & Wholesome,https://www.amazon.com/s/ref=sr_nr_n_14?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A23%2Cn%3A11764652011&bbn=23&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=23
Books:Computers & Technology:Internet & Social Media:Blogging & Blogs,https://www.amazon.com/s/ref=sr_nr_n_9?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A5%2Cn%3A69766%2Cn%3A15375281&bbn=69766&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=69766
Books:Religion & Spirituality:Agnosticism,https://www.amazon.com/s/ref=sr_nr_n_13?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A22%2Cn%3A12762&bbn=22&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=22
"Books:Parenting & Relationships:Babysitting, Day Care & Child Care",https://www.amazon.com/s/ref=sr_nr_n_11?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A20%2Cn%3A10166921011&bbn=20&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=20
"Books:Mystery, Thriller & Suspense:Thrillers & Suspense:Suspense",https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A18%2Cn%3A10484%2Cn%3A10495&bbn=10484&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=10484
Books:Education & Teaching:Test Preparation:College & High School:Prep School,https://www.amazon.com/s/ref=sr_nr_n_9?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A8975347011%2Cn%3A5267710011%2Cn%3A11668%2Cn%3A11702&bbn=11668&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=11668
Books:Literature & Fiction:Action & Adventure:Men's Adventure,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A17%2Cn%3A720360%2Cn%3A10159267011&bbn=720360&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=720360
Books:Sports & Outdoors:Hunting & Fishing:Shooting,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16479%2Cn%3A16531&bbn=16479&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=16479
Books:Teen & Young Adult:Education & Reference:School & Education,https://www.amazon.com/s/ref=sr_nr_n_8?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A28%2Cn%3A3344092011%2Cn%3A10367730011&bbn=3344092011&keywords=textbooks&ie=UTF8&qid=1535004107&rnid=3344092011
Books:Literature & Fiction:Action & Adventure:Fantasy,https://www.amazon.com/s/ref=sr_nr_n_7?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A17%2Cn%3A720360%2Cn%3A10159265011&bbn=720360&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=720360
Books:Romance:Romantic Suspense,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A23%2Cn%3A13389&bbn=23&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=23
